epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_macro,train_f1_weighted,train_f1_hc,train_f1_ad,train_auroc,train_auroc_macro,train_kappa,train_sensitivity_AD,train_specificity_AD,val_loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_f1_weighted,val_f1_hc,val_f1_ad,val_auroc,val_auroc_macro,val_kappa,val_sensitivity_AD,val_specificity_AD
1,0.5322576204412862,0.46464646464646464,0.4644023217848721,0.46169278996865204,0.4618270479085526,0.5015673981191222,0.4218181818181818,0.4410484309813169,0.4410484309813169,-0.07122927205498719,0.3918918918654127,0.536912751641818,0.5614697635173798,0.52,0.5256410256410257,0.512987012987013,0.5106493506493507,0.5714285714285714,0.45454545454545453,0.5705128205128205,0.5705128205128205,0.05063291139240511,0.3846153843195266,0.666666666111111
2,0.5294021917016882,0.6094276094276094,0.6034969492760223,0.6025747508305648,0.6059133229675866,0.6547619047619048,0.5503875968992248,0.6440670248611239,0.6440670248611239,0.20880029395553912,0.5107913668697273,0.6962025316015061,0.5471209585666656,0.84,0.8397435897435898,0.8397435897435898,0.84,0.8333333333333334,0.8461538461538461,0.9615384615384616,0.9615384615384616,0.6794871794871795,0.8461538455029586,0.8333333326388889
3,0.5271015143708179,0.7912457912457912,0.7761553273427471,0.7800525561395126,0.7852315156662982,0.8296703296703297,0.7304347826086957,0.8069182101595451,0.8069182101595451,0.5668109532323328,0.6315789473209339,0.9207317072609309,0.528700016438961,0.96,0.9615384615384616,0.96,0.96,0.96,0.96,1.0,1.0,0.9201277955271565,0.9230769223668639,0.9999999991666666
4,0.5037479000656229,0.8282828282828283,0.8185903284671533,0.8219529110293513,0.8245526984727436,0.8555240793201133,0.7883817427385892,0.8992244525547445,0.8992244525547445,0.6484064901000441,0.6934306568836911,0.9437499999410156,0.47737714648246765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
5,0.463354597750463,0.8821548821548821,0.8818379751428831,0.8820211329149121,0.8820880075348972,0.8859934853420195,0.8780487804878049,0.930917173183344,0.930917173183344,0.7641091973585676,0.8630136985710264,0.9006622515959826,0.37249844521284103,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
6,0.4002096370646828,0.8821548821548821,0.878237164925034,0.8801936264622832,0.8808645823571197,0.8648648648648649,0.8955223880597015,0.9454111767378465,0.9454111767378465,0.7621009268795057,0.9677419354214359,0.7887323943106526,0.28302494436502457,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
7,0.35292306542396545,0.8451178451178452,0.844421768707483,0.8441833941605839,0.8443052790680527,0.85625,0.8321167883211679,0.9516553287981859,0.9516553287981859,0.6897820163487738,0.7755102040288768,0.9133333332724444,0.22951408103108406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
8,0.29052488427413137,0.8888888888888888,0.8896598639455782,0.8883827398102699,0.8883068174484773,0.8958990536277602,0.8808664259927798,0.9698639455782314,0.9698639455782314,0.7781022889356789,0.8133333332791111,0.9659863944921098,0.18268899619579315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
9,0.26533741935303334,0.9023569023569024,0.9023444585525122,0.9023524743495266,0.9023546883532144,0.903010033444816,0.9016949152542373,0.9622709958280429,0.9622709958280429,0.8047071627780423,0.8986486485879291,0.9060402683955677,0.1389159820973873,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
10,0.20582428966697894,0.9393939393939394,0.9391339869281046,0.9393106893106893,0.9393788030151667,0.9370629370629371,0.9415584415584416,0.9883805374001453,0.9883805374001453,0.8786268900694728,0.9477124182387116,0.9305555554909336,0.11536959744989872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
